jam_criteria,jam_end_date,jam_host,jam_name_x,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english,jam_duration,jam_desc_len,jam_name_y,jam_no_illustrations,jam_no_videos,num_hosts
,2018-02-15 23:00:00,Hitbox Makers,Sharing Week ESG - 2018,1,0,2,2018-02-11 23:00:00,https://www.itch.io/jam/sharing-week-esg-2018,u,96.0,404,Sharing Week ESG - 2018,1,0,1
,2016-06-18 22:00:00,Seperto,Sepermelon Jam,6,0,2,2016-06-14 22:00:00,https://www.itch.io/jam/sepermelon-jam,u,96.0,1850,Sepermelon Jam,0,0,1
,2019-09-06 06:00:00,Steve Halliwell,Make-A-Thing 2019 Sept,15,0,2,2019-09-01 23:00:00,https://www.itch.io/jam/make-a-thing-2019-sept,u,103.0,1775,Make-A-Thing 2019 Sept,0,0,1
,2019-02-09 04:59:59,Trialblazer,Love of Color,5,0,2,2019-02-04 05:00:00,https://www.itch.io/jam/love-of-color,u,119.99972222222222,747,Love of Color,0,0,1
,2018-05-16 16:00:00,Festival Stunfest||Indie Collective,Stun Jam 2018,5,0,2,2018-05-11 16:00:00,https://www.itch.io/jam/stun-jam-2018,u,120.0,228,Stun Jam 2018,0,0,2
,2018-10-26 14:00:00,Corey Himself,Halloween Jam,8,0,2,2018-10-21 12:57:50,https://www.itch.io/jam/coreys-halloween-jam,u,121.03611111111111,1005,Halloween Jam,4,0,1
,2017-08-07 10:00:00,LucasLislo,Mechanic Mix Jam,11,0,2,2017-08-02 06:00:00,https://www.itch.io/jam/mechanic-mix,u,124.0,469,Mechanic Mix Jam,0,0,1
,2017-04-14 22:59:59,Aviv,Get Well Soon Jam,6,0,2,2017-04-09 11:00:00,https://www.itch.io/jam/get-well-soon-jam,u,131.99972222222223,746,Get Well Soon Jam,0,0,1
,2017-06-30 22:00:00,Spaghatto,Pet Jam,7,0,2,2017-06-25 10:00:00,https://www.itch.io/jam/pet-jam,u,132.0,305,Pet Jam,0,0,1
,2016-03-30 22:00:00,Neophos,Nordic Game Jam warmup!,2,0,2,2016-03-24 23:00:00,https://www.itch.io/jam/nordic-game-jam-warmup,u,143.0,52,Nordic Game Jam warmup!,0,0,1
,2018-11-18 00:00:00,Marina Díez,Unofficial #politicalbitsyjam 2018,12,0,2,2018-11-12 00:00:00,https://www.itch.io/jam/unofficial-politicalbitsyjam-2018,u,144.0,1136,Unofficial #politicalbitsyjam 2018,0,0,1
,2017-08-05 23:00:00,ccCam,Just f**king finish it!,24,0,2,2017-07-30 23:00:00,https://www.itch.io/jam/just-fking-finish-it,u,144.0,717,Just f**king finish it!,0,0,1
